ZONE,ID ZONE,SECTEUR,NOM SITE,ID SITE,NPOINT,IDUNIQUE,OBSERVATEUR 1,OBSERVATEUR 2,DATE,HEURE DEBUT,MINUTES DEPUIS MINUIT,COUV NUAGE,PLUIE,VENT,VISI,DENEIGMT,ESPECE,NB05,NB510,NB1015,MAX10,NB100,RQ,X,Y,ALT,RASTALT,AGRI,IR,IIR1,IIR2,% SOL NU,% ROCH,% HERB,%ARBRISSEAU,%ARBUSTE,%ARBRES,% CROTTES,INFO SUP PATURAGE 
ECRINS,2,Oisans,Etançons,10,1,,Magnolon Severine,,14/06/14,9h58,,1,1,1,1,100,Accenteur mouchet,1,0,,,0,,6.297805555555556,44.974694444444445,2197,,1,3,1,5 (cours d'eau),NA,50,35,15,0,0,NA,NON
ECRINS,2,Oisans,Etançons,10,1,,Magnolon Severine,,14/06/14,9h58,,1,1,1,1,100,Pipit spioncelle,2,1,,,0,,6.297805555555556,44.974694444444445,2197,,1,3,1,5 (cours d'eau),NA,50,35,15,0,0,NA,NON
ECRINS,2,Oisans,Etançons,10,1,,Magnolon Severine,,14/06/14,9h58,,1,1,1,1,100,Traquet motteux,1,0,,,0,,6.297805555555556,44.974694444444445,2197,,1,3,1,5 (cours d'eau),NA,50,35,15,0,0,NA,NON
ECRINS,2,Oisans,Etançons,10,1,,Magnolon Severine,,14/06/14,9h58,,1,1,1,1,100,Rougequeue noir,0,1,,,0,,6.297805555555556,44.974694444444445,2197,,1,3,1,5 (cours d'eau),NA,50,35,15,0,0,NA,NON
ECRINS,2,Oisans,Etançons,10,3,,Magnolon Severine,,14/06/14,9h36,,1,1,1,1,100,Pipit spioncelle,2,1,,,1,,6.297777777777778,44.97225,2160,,1,3,1,0,NA,50,35,15,0,0,NA,NON
ECRINS,2,Oisans,Etançons,10,3,,Magnolon Severine,,14/06/14,9h36,,1,1,1,1,100,Rougequeue noir,1,1,,,0,,6.297777777777778,44.97225,2160,,1,3,1,0,NA,50,35,15,0,0,NA,NON
ECRINS,2,Oisans,Etançons,10,5,,Magnolon Severine,,14/06/14,9h00,,1,1,1,1,100,aucune,0,0,,,0,,6.294333333333333,44.967916666666667,2152,,1,3,4,0,NA,95,5,0,0,0,NA,NON
ECRINS,2,Oisans,Etançons,10,6,,Magnolon Severine,,14/06/14,8h37,,1,1,1,1,100,Rougequeue noir,1,1,,,0,,6.297527777777778,44.967916666666667,2135,,1,3,0,0,NA,90,5,5,0,0,NA,NON
ECRINS,2,Oisans,Etançons,10,15,,Magnolon Severine,,14/06/14,7h47,,1,1,1,1,100,Rougequeue noir,1,1,,,0,,6.293666666666667,44.956472222222224,2012,,1,3,2,4,NA,30,30,40,0,0,NA,NON
ECRINS,2,Oisans,Etançons,10,15,,Magnolon Severine,,14/06/14,7h47,,1,1,1,1,100,Accenteur mouchet,1,1,,,0,,6.293666666666667,44.956472222222224,2012,,1,3,2,4,NA,30,30,40,0,0,NA,NON
ECRINS,2,Oisans,Etançons,10,15,,Magnolon Severine,,14/06/14,7h47,,1,1,1,1,100,Troglodyte mignon,0,1,,,0,,6.293666666666667,44.956472222222224,2012,,1,3,2,4,NA,30,30,40,0,0,NA,NON
ECRINS,2,Oisans,Etançons,10,16,,Magnolon Severine,,14/06/14,7h27,,1,1,1,1,100,Rougequeue noir,1,1,,,0,,6.293583333333333,44.954472222222222,1987,,1,3,2,5 (cours d'eau),NA,30,30,50,5,0,NA,NON
ECRINS,2,Oisans,Etançons,10,16,,Magnolon Severine,,14/06/14,7h27,,1,1,1,1,100,Accenteur mouchet,0,1,,,0,,6.293583333333333,44.954472222222222,1987,,1,3,2,5 (cours d'eau),NA,30,30,50,5,0,NA,NON
ECRINS,2,Oisans,Etançons,10,19,,Magnolon Severine,,14/06/14,6h52,,1,1,1,1,100,Accenteur mouchet,1,1,,,0,,6.296472222222222,44.94975,1960,,1,3,4,2,NA,0,0,0,0,0,NA,NON
ECRINS,2,Oisans,Etançons,10,19,,Magnolon Severine,,14/06/14,6h52,,1,1,1,1,100,Sizerin flammé,0,2,,,0,,6.296472222222222,44.94975,1960,,1,3,4,2,NA,0,0,0,0,0,NA,NON
