SECTEUR PARC OU ZONE GEOGRAPHIQUE,NOM SITE,N°SECTEUR COMPTAGE,NPOINT,OBSERVATEUR 1,DEBUTANT ?,OBSERVATEUR 2,DATE,HEURE DEBUT,COUV NUAGE,PLUIE,VENT,VISI,DENEIGEMT,ESPECE,NB05,NB510,NB100,MAX10,NB1015,,Liste espèces,Liste espèces
Oisans,Mizoën,56,17,Magnolon,,,15/06/2021,5h40,1,1,1,1,100,Alouette des champs,1,1,2,,,,Pipit spioncelle,Pipit rousseline
Oisans,Mizoën,56,17,Magnolon,,,15/06/2021,5h40,1,1,1,1,100,Pipit des arbres,1,1,,,,,Traquet motteux,Pouillot de bonelli
Oisans,Mizoën,56,8,Magnolon,,,15/06/2021,5h56,1,1,1,1,100,Alouette des champs,,1,,,,,Rougequeue noir,Caille des bles
Oisans,Mizoën,56,8,Magnolon,,,15/06/2021,5h56,1,1,1,1,100,Pipit des arbres,,,1,,,,Accenteur mouchet,Pouillot veloce
Oisans,Mizoën,56,8,Magnolon,,,15/06/2021,5h56,1,1,1,1,100,Pipit spioncelle,1,1,,,,,Alouette des champs,Merle noir
Oisans,Mizoën,56,2,Magnolon,,,15/06/2021,6h17,1,1,1,1,100,Alouette des champs,2,3,1,,,,Chocard a bec jaune,Serin cini
Oisans,Mizoën,56,2,Magnolon,,,15/06/2021,6h17,1,1,1,1,100,Crave a bec rouge,,,1,,,,Linotte melodieuse,Milan royal
Oisans,Mizoën,56,2,Magnolon,,,15/06/2021,6h17,1,1,1,1,100,Pipit spioncelle,,,1,,,,Tarier des pres,Cincle plongeur
Oisans,Mizoën,56,3,Magnolon,,,15/06/2021,6h32,1,1,1,1,100,Alouette des champs,3,2,1,,,,Crave a bec rouge,Hirondelle de fenetre
Oisans,Mizoën,56,3,Magnolon,,,15/06/2021,6h32,1,1,1,1,100,Pipit spioncelle,,1,1,,,,Accenteur alpin,Bergeronnette grise
Oisans,Mizoën,56,4,Magnolon,,,15/06/2021,6h48,1,1,1,1,100,Alouette des champs,2,1,,,,,Pipit des arbres,Chardonneret elegant
Oisans,Mizoën,56,4,Magnolon,,,15/06/2021,6h48,1,1,1,1,100,Linotte melodieuse,,,5,,,,Merle a plastron,Martinet noir
Oisans,Mizoën,56,4,Magnolon,,,15/06/2021,6h48,1,1,1,1,100,Pipit spioncelle,1,2,,,,,,Mesange boreale
Oisans,Mizoën,56,4,Magnolon,,,15/06/2021,6h48,1,1,1,1,100,Tarier des pres,1,2,,,,,Pinson des arbres,Martinet alpin
Oisans,Mizoën,56,13,Magnolon,,,15/06/2021,7h09,1,1,1,1,100,Alouette des champs,2,2,1,,,,Venturon montagnard,Tetras lyre
Oisans,Mizoën,56,13,Magnolon,,,15/06/2021,7h09,1,1,1,1,100,Pipit spioncelle,2,1,2,,,,Monticole de roche,Mesange charbonniere
Oisans,Mizoën,56,13,Magnolon,,,15/06/2021,7h09,1,1,1,1,100,Traquet motteux,,2,,,,,,Grive musicienne
Oisans,Mizoën,56,6,Magnolon,,,15/06/2021,7h32,1,1,1,1,100,Alouette des champs,1,2,3,,,,Bruant ortolan,Gypaete barbu
Oisans,Mizoën,56,6,Magnolon,,,15/06/2021,7h32,1,1,1,1,100,Crave a bec rouge,,,1,,,,Troglodyte mignon,Fauvette a tete noire
Oisans,Mizoën,56,6,Magnolon,,,15/06/2021,7h32,1,1,1,1,100,Pipit spioncelle,1,1,,,,,,Cassenoix mouchete
Oisans,Mizoën,56,23,Magnolon,,,15/06/2021,7h56,1,1,1,1,100,Alouette des champs,2,2,,,,,Fauvette babillarde,Tichodrome echelette
Oisans,Mizoën,56,23,Magnolon,,,15/06/2021,7h56,1,1,1,1,100,Pipit spioncelle,2,2,,,,,,
Oisans,Mizoën,56,23,Magnolon,,,15/06/2021,7h56,1,1,1,1,100,Traquet motteux,2,1,,,,,Bruant jaune,
Oisans,Mizoën,56,34,Magnolon,,,15/06/2021,8h18,1,1,1,1,100,Alouette des champs,4,4,2,,,,Niverolle alpine,
Oisans,Mizoën,56,34,Magnolon,,,15/06/2021,8h18,1,1,1,1,100,Crave a bec rouge,,,2,,,,Sizerin flamme,
Oisans,Mizoën,56,34,Magnolon,,,15/06/2021,8h18,1,1,1,1,100,Pipit spioncelle,,1,,,,,Corneille noire,
Oisans,Mizoën,56,34,Magnolon,,,15/06/2021,8h18,1,1,1,1,100,Perdrix bartavelle,,,1,,,,Faucon crecerelle,
Oisans,Mizoën,56,29,Magnolon,,,15/06/2021,8h40,1,1,1,1,100,Alouette des champs,3,3,1,,,,,
Oisans,Mizoën,56,29,Magnolon,,,15/06/2021,8h40,1,1,1,1,100,Linotte melodieuse,,,2,,,,Perdrix bartavelle,
Oisans,Mizoën,56,29,Magnolon,,,15/06/2021,8h40,1,1,1,1,100,Pipit spioncelle,,,2,,,,Mesange noire,
Oisans,Mizoën,56,29,Magnolon,,,15/06/2021,8h40,1,1,1,1,100,Tarier des pres,1,1,,,,,Coucou gris,
