SECTEUR PARC OU ZONE GEOGRAPHIQUE,NOM SITE,N°SECTEUR COMPTAGE,NPOINT,OBSERVATEUR 1,DEBUTANT ?,OBSERVATEUR 2,DATE,HEURE DEBUT,COUV NUAGE,PLUIE,VENT,VISI,DENEIGMT,ESPECE,NB05,NB510,NB100,MAX10,,,Liste espèces,,ELEMENT PAYSAGE 1,ELEMENT PAYSAGE 2,ELEMENT PAYSAGE 3,% ROCH,% SOL NU,% HERB,%ARBRISSEAU,%ARBRISSEAU_1M,%ARBUSTE,%ARBRES,RQ
Briançonnais,Arsine,19,1,C.COURSIER,,,06/06/2021,6h12,1,1,1,1,100,Pipit spioncelle,3,3,0,,,,Pipit spioncelle,,2,,,25,5,70,0,0,0,0,Gros bloc et cairn plaqué
Briançonnais,Arsine,19,1,C.COURSIER,,,06/06/2021,6h12,1,1,1,1,100,Traquet motteux,1,2,0,,,,Traquet motteux,,2,,,25,5,70,0,0,0,0,Gros bloc et cairn plaqué
Briançonnais,Arsine,19,2,C.COURSIER,,,06/06/2021,7h15,1,1,1,1,80,Traquet motteux,1,1,0,,,,Rougequeue noir,,,,,10,0,90,0,0,0,0,"caillou dans pelouse, cairn"
Briançonnais,Arsine,19,2,C.COURSIER,,,06/06/2021,7h15,1,1,1,1,80,Rouge-queue noir,1,1,0,,,,Accenteur mouchet,,,,,10,0,90,0,0,0,0,"caillou dans pelouse, cairn"
Briançonnais,Arsine,19,2,C.COURSIER,,,06/06/2021,7h15,1,1,1,1,80,Monticole de roche,0,0,1,,,,Alouette des champs,,,,,10,0,90,0,0,0,0,"caillou dans pelouse, cairn"
Briançonnais,Arsine,19,2,C.COURSIER,,,06/06/2021,7h15,1,1,1,1,80,Pipit spioncelle,1,0,0,,,,Chocard a bec jaune,,,,,10,0,90,0,0,0,0,"caillou dans pelouse, cairn"
Briançonnais,Arsine,19,2,C.COURSIER,,,06/06/2021,7h15,1,1,1,1,80,Accenteur alpin,0,0,1,,,,Linotte melodieuse,,,,,10,0,90,0,0,0,0,"caillou dans pelouse, cairn"
Briançonnais,Arsine,19,3,C.COURSIER,,,06/06/2021,7h35,1,1,1,1,90,Accenteur alpin,0,0,1,,,,Tarier des pres,,,,,5,0,95,0,0,0,0,source et piquet bois
Briançonnais,Arsine,19,3,C.COURSIER,,,06/06/2021,7h35,1,1,1,1,90,Traquet motteux,1,1,0,,,,Crave a bec rouge,,,,,5,0,95,0,0,0,0,source et piquet bois
Briançonnais,Arsine,19,3,C.COURSIER,,,06/06/2021,7h35,1,1,1,1,90,Pipit spioncelle,1,1,0,,,,Accenteur alpin,,,,,5,0,95,0,0,0,0,source et piquet bois
Briançonnais,Arsine,19,4,C.COURSIER,,,06/06/2021,8h20,1,1,1,1,50,Rouge-queue noir,1,1,0,,,,Pipit des arbres,,,,,70,0,30,0,0,0,0,"bord de casse, cairn"
Briançonnais,Arsine,19,4,C.COURSIER,,,06/06/2021,8h20,1,1,1,1,50,Accenteur alpin,1,2,0,,,,Merle a plastron,,,,,70,0,30,0,0,0,0,"bord de casse, cairn"
