ZONE,ID ZONE,SECTEUR,NOM SITE,ID SITE,NPOINT,OBSERVATEUR 1,OBSERVATEUR 2,DATE,HEURE DEBUT,COUV NUAGE,PLUIE,VENT,VISI,DENEIGMT,ESPECE,NB05,NB510,NB100,RQ,X,Y,ALT,RASTALT,AGRI,IR,IIR1,IIR2,% SOL NU,% ROCH,% HERB,%ARBRISSEAU,%ARBUSTE,%ARBRES,% CROTTES,INFO SUP PATURAGE ,MAX10,NB1015
,,Valbonnais,Taillefer,,1,Jendoubi Samy,,28/06/21,5h50,1,1,2,1,100,accenteur mouchet,1,,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,1,Jendoubi Samy,,28/06/21,5h50,1,1,2,1,100,Pinson des arbres,1,,1,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,1,Jendoubi Samy,,28/06/21,5h50,1,1,2,1,100,Pipit des arbres,3,3,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,1,Jendoubi Samy,,28/06/21,5h50,1,1,2,1,100,Merle a plastron,,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,1,Jendoubi Samy,,28/06/21,5h50,1,1,2,1,100,Fauvette a tete noire,,,1,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,1,Jendoubi Samy,,28/06/21,5h50,1,1,2,1,100,rouge gorge,1,,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,2,Jendoubi Samy,,28/06/21,6h46,1,1,2,1,100,Alouette des champs,1,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,2,Jendoubi Samy,,28/06/21,6h46,1,1,2,1,100,Pipit spioncelle,3,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,2,Jendoubi Samy,,28/06/21,6h46,1,1,2,1,100,Tarier des pres,1,,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,2,Jendoubi Samy,,28/06/21,6h46,1,1,2,1,100,Traquet motteux,,2,,1,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,2,Jendoubi Samy,,28/06/21,6h46,1,1,2,1,100,cincle plongeur,1,,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,3,Jendoubi Samy,,28/06/21,7h11,1,1,2,1,100,Pipit spioncelle,3,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,3,Jendoubi Samy,,28/06/21,7h11,1,1,2,1,100,Traquet motteux,1,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,3,Jendoubi Samy,,28/06/21,7h11,1,1,2,1,100,Linotte melodieuse,1,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,3,Jendoubi Samy,,28/06/21,7h11,1,1,2,1,100,Tarier des pres,2,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,3,Jendoubi Samy,,28/06/21,7h11,1,1,2,1,100,accenteur mouchet,1,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,3,Jendoubi Samy,,28/06/21,7h11,1,1,2,1,100,Merle a plastron,,1,1,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,4,Jendoubi Samy,,28/06/21,7h32,1,1,2,1,100,Traquet motteux,1,,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,4,Jendoubi Samy,,28/06/21,7h32,1,1,2,1,100,accenteur mouchet,1,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,4,Jendoubi Samy,,28/06/21,7h32,1,1,2,1,100,Pipit spioncelle,1,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,4,Jendoubi Samy,,28/06/21,7h32,1,1,2,1,100,Merle a plastron,1,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,4,Jendoubi Samy,,28/06/21,7h32,1,1,2,1,100,Tarier des pres,1,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,5,Jendoubi Samy,,28/06/21,7h52,1,1,2,1,100,Pipit spioncelle,2,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,5,Jendoubi Samy,,28/06/21,7h52,1,1,2,1,100,accenteur mouchet,1,1,,nourrit,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,5,Jendoubi Samy,,28/06/21,7h52,1,1,2,1,100,Tarier des pres,1,2,,"couple, nourrit",,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,5,Jendoubi Samy,,28/06/21,7h52,1,1,2,1,100,Merle a plastron,1,,1,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,6,Jendoubi Samy,,28/06/21,8h16,1,1,3,1,100,Pipit spioncelle,2,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,6,Jendoubi Samy,,28/06/21,8h16,1,1,3,1,100,Fauvette babillarde,2,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,6,Jendoubi Samy,,28/06/21,8h16,1,1,3,1,100,Tarier des pres,1,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,6,Jendoubi Samy,,28/06/21,8h16,1,1,3,1,100,accenteur mouchet,1,,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,6,Jendoubi Samy,,28/06/21,8h16,1,1,3,1,100,Cassenoix mouchete,,,1,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,7,Jendoubi Samy,,28/06/21,8h45,1,1,3,1,100,Linotte melodieuse,,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,7,Jendoubi Samy,,28/06/21,8h45,1,1,3,1,100,Merle a plastron,,,1,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,7,Jendoubi Samy,,28/06/21,8h45,1,1,3,1,100,Pipit spioncelle,1,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,7,Jendoubi Samy,,28/06/21,8h45,1,1,3,1,100,Tarier des pres,2,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,7,Jendoubi Samy,,28/06/21,8h45,1,1,3,1,100,Traquet motteux,,1,2,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,7,Jendoubi Samy,,28/06/21,8h45,1,1,3,1,100,Corneille noire,2,,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,8,Jendoubi Samy,,28/06/21,9h09,1,1,3,1,100,Alouette des champs,1,3,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,8,Jendoubi Samy,,28/06/21,9h09,1,1,3,1,100,Grand corbeau,1,,1,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,9,Jendoubi Samy,,28/06/21,9h35,1,1,3,1,100,Alouette des champs,,,1,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,9,Jendoubi Samy,,28/06/21,9h35,1,1,3,1,100,Traquet motteux,,1,1,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,9,Jendoubi Samy,,28/06/21,9h35,1,1,3,1,100,Merle a plastron,,,1,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,9,Jendoubi Samy,,28/06/21,9h35,1,1,3,1,100,Pipit spioncelle,,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,9,Jendoubi Samy,,28/06/21,9h35,1,1,3,1,100,Tarier des pres,,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,10,Jendoubi Samy,,28/06/21,10h05,1,1,2,1,100,Linotte melodieuse,2,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,10,Jendoubi Samy,,28/06/21,10h05,1,1,2,1,100,Pipit des arbres,1,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,10,Jendoubi Samy,,28/06/21,10h05,1,1,2,1,100,Traquet motteux,1,1,,nourrit,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,10,Jendoubi Samy,,28/06/21,10h05,1,1,2,1,100,Grive draine,,1,1,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,10,Jendoubi Samy,,28/06/21,10h05,1,1,2,1,100,Pipit spioncelle,,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,1,Girardon Christophe,,28/06/21,5h50,1,1,2,1,100,accenteur mouchet,2,,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,1,Girardon Christophe,,28/06/21,5h50,1,1,2,1,100,Grive draine,,,1,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,1,Girardon Christophe,,28/06/21,5h50,1,1,2,1,100,Grand corbeau,,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,1,Girardon Christophe,,28/06/21,5h50,1,1,2,1,100,Pipit des arbres,2,3,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,1,Girardon Christophe,,28/06/21,5h50,1,1,2,1,100,Venturon montagnard,,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,1,Girardon Christophe,,28/06/21,5h50,1,1,2,1,100,rouge gorge,1,,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,2,Girardon Christophe,,28/06/21,6h46,1,1,2,1,100,Alouette des champs,1,,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,2,Girardon Christophe,,28/06/21,6h46,1,1,2,1,100,Pipit des arbres,,1,1,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,2,Girardon Christophe,,28/06/21,6h46,1,1,2,1,100,Pipit spioncelle,3,3,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,2,Girardon Christophe,,28/06/21,6h46,1,1,2,1,100,Tarier des pres,1,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,2,Girardon Christophe,,28/06/21,6h46,1,1,2,1,100,Traquet motteux,,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,3,Girardon Christophe,,28/06/21,7h11,1,1,2,1,100,accenteur mouchet,1,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,3,Girardon Christophe,,28/06/21,7h11,1,1,2,1,100,Linotte melodieuse,1,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,3,Girardon Christophe,,28/06/21,7h11,1,1,2,1,100,Pipit des arbres,1,,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,3,Girardon Christophe,,28/06/21,7h11,1,1,2,1,100,Pipit spioncelle,2,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,3,Girardon Christophe,,28/06/21,7h11,1,1,2,1,100,Traquet motteux,3,3,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,4,Girardon Christophe,,28/06/21,7h32,1,1,2,1,100,Grand corbeau,,,1,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,4,Girardon Christophe,,28/06/21,7h32,1,1,2,1,100,Merle a plastron,,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,4,Girardon Christophe,,28/06/21,7h32,1,1,2,1,100,Pipit spioncelle,1,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,4,Girardon Christophe,,28/06/21,7h32,1,1,2,1,100,Rougequeue noir,1,,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,4,Girardon Christophe,,28/06/21,7h32,1,1,2,1,100,Tarier des pres,1,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,4,Girardon Christophe,,28/06/21,7h32,1,1,2,1,100,Traquet motteux,1,,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,5,Girardon Christophe,,28/06/21,7h52,1,1,2,1,100,accenteur mouchet,1,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,5,Girardon Christophe,,28/06/21,7h52,1,1,2,1,100,Pipit spioncelle,2,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,5,Girardon Christophe,,28/06/21,7h52,1,1,2,1,100,Tarier des pres,1,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,6,Girardon Christophe,,28/06/21,8h16,1,1,3,1,100,Fauvette babillarde,1,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,6,Girardon Christophe,,28/06/21,8h16,1,1,3,1,100,Pipit spioncelle,2,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,6,Girardon Christophe,,28/06/21,8h16,1,1,3,1,100,Tarier des pres,1,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,7,Girardon Christophe,,28/06/21,8h45,1,1,3,1,100,Chocard a bec jaune,,,2,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,7,Girardon Christophe,,28/06/21,8h45,1,1,3,1,100,Pipit spioncelle,1,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,7,Girardon Christophe,,28/06/21,8h45,1,1,3,1,100,Tarier des pres,2,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,7,Girardon Christophe,,28/06/21,8h45,1,1,3,1,100,Traquet motteux,,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,8,Girardon Christophe,,28/06/21,9h09,1,1,3,1,100,Alouette des champs,2,3,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,8,Girardon Christophe,,28/06/21,9h09,1,1,3,1,100,Grand corbeau,1,,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,9,Girardon Christophe,,28/06/21,9h35,1,1,3,1,100,Alouette des champs,,,1,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,9,Girardon Christophe,,28/06/21,9h35,1,1,3,1,100,Pipit spioncelle,,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,9,Girardon Christophe,,28/06/21,9h35,1,1,3,1,100,Tarier des pres,,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,10,Girardon Christophe,,28/06/21,10h05,1,1,3,1,100,Pipit des arbres,2,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,10,Girardon Christophe,,28/06/21,10h05,1,1,3,1,100,Traquet motteux,1,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Taillefer,,10,Girardon Christophe,,28/06/21,10h05,1,1,2,1,100,Pipit spioncelle,,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,1,Benyoub,,16/06/21,6h05,1,1,1,1,95,rouge queue noir,1,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,1,Benyoub,,16/06/21,6h05,1,1,1,1,95,Pipit spioncelle,2,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,1,Benyoub,,16/06/21,6h05,1,1,1,1,95,Troglodyte mignon,,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,1,Benyoub,,16/06/21,6h05,1,1,1,1,95,Traquet motteux,,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,2,Benyoub,,16/06/21,6h25,1,1,1,1,100,Pipit spioncelle,3,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,2,Benyoub,,16/06/21,6h25,1,1,1,1,100,Traquet motteux,1,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,3,Benyoub,,16/06/21,6h55,1,1,1,1,100,Pipit spioncelle,2,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,3,Benyoub,,16/06/21,6h55,1,1,1,1,100,Traquet motteux,1,3,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,3,Benyoub,,16/06/21,6h55,1,1,1,1,100,rouge queue noir,1,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,3,Benyoub,,16/06/21,6h55,1,1,1,1,100,Alouette des champs,1,,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,4,Benyoub,,16/06/21,7h15,1,1,1,1,100,Traquet motteux,2,3,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,4,Benyoub,,16/06/21,7h15,1,1,1,1,100,Pipit spioncelle,2,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,5,Benyoub,,16/06/21,8h00,1,1,1,1,100,Pipit spioncelle,1,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,5,Benyoub,,16/06/21,8h00,1,1,1,1,100,rouge queue noir,1,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,5,Benyoub,,16/06/21,8h00,1,1,1,1,100,Traquet motteux,1,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,6,Benyoub,,16/06/21,8h25,1,1,1,1,50,rouge queue noir,1,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,6,Benyoub,,16/06/21,8h25,1,1,1,1,50,Pipit spioncelle,1,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,6,Benyoub,,16/06/21,8h25,1,1,1,1,50,Traquet motteux,,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,6,Benyoub,,16/06/21,8h25,1,1,1,1,50,Crave a bec rouge,2,,1,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,6,Benyoub,,16/06/21,8h25,1,1,1,1,50,Chocard a bec jaune,2,,4,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,6,Benyoub,,16/06/21,8h25,1,1,1,1,50,Linotte melodieuse,2,,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,6,Benyoub,,16/06/21,8h25,1,1,1,1,50,Perdrix bartavelle,,,1,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,7,Benyoub,,16/06/21,8h48,1,1,1,1,80,rouge queue noir,3,3,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,7,Benyoub,,16/06/21,8h48,1,1,1,1,80,Pipit spioncelle,1,1,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,7,Benyoub,,16/06/21,8h48,1,1,1,1,80,rouge queue noir,1,3,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,7,Benyoub,,16/06/21,8h48,1,1,1,1,80,Chocard a bec jaune,,,5,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,7,Benyoub,,16/06/21,8h48,1,1,1,1,80,Bergeronnette des ruisseaux,1,,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,8,Benyoub,,16/06/21,9h20,1,1,1,1,100,Pipit spioncelle,2,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,8,Benyoub,,16/06/21,9h20,1,1,1,1,100,Traquet motteux,3,2,,,,,,,,,,,,,,,,,,,,
,,Valbonnais,Vallon valsenestre,,8,Benyoub,,16/06/21,9h20,1,1,1,1,100,rouge queue noir,1,,,,,,,,,,,,,,,,,,,,,
